key,datasetKey,publishingOrgKey,installationKey,hostingOrganizationKey,publishingCountry,protocol,lastCrawled,lastParsed,crawlId,basisOfRecord,occurrenceStatus,taxonKey,kingdomKey,phylumKey,classKey,orderKey,familyKey,genusKey,speciesKey,acceptedTaxonKey,scientificName,acceptedScientificName,kingdom,phylum,order,family,genus,species,genericName,specificEpithet,taxonRank,taxonomicStatus,iucnRedListCategory,dateIdentified,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,continent,stateProvince,year,month,day,eventDate,startDayOfYear,endDayOfYear,issues,modified,lastInterpreted,references,license,isSequenced,identifiers,media,facts,relations,isInCluster,datasetName,recordedBy,identifiedBy,geodeticDatum,class,countryCode,recordedByIDs,identifiedByIDs,gbifRegion,country,publishedByGbifRegion,rightsHolder,identifier,informationWithheld,http://unknown.org/nick,verbatimEventDate,verbatimLocality,collectionCode,gbifID,occurrenceID,taxonID,catalogNumber,institutionCode,eventTime,http://unknown.org/captive,identificationID,extensions.http://rs.gbif.org/terms/1.0/Multimedia,gadm.level0.gid,gadm.level0.name,gadm.level1.gid,gadm.level1.name,gadm.level2.gid,gadm.level2.name,gadm.level3.gid,gadm.level3.name,individualCount,vernacularName,taxonConceptID,locality,county,identificationRemarks,sex,preparations,nomenclaturalCode,fieldNotes,verbatimElevation,behavior,higherClassification,extensions.http://rs.tdwg.org/ac/terms/Multimedia,distanceFromCentroidInMeters,associatedTaxa,lifeStage,occurrenceRemarks
4745689308,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,e2e717bf-551a-4917-bdc9-4fa0f342c530,7182d304-b0a2-404b-baba-2086a325c221,e2e717bf-551a-4917-bdc9-4fa0f342c530,KR,DWC_ARCHIVE,2024-04-15T22:36:22.136+00:00,2024-04-17T09:26:07.042+00:00,20,HUMAN_OBSERVATION,PRESENT,2489521,1,44,212,729,9334,2489451,2489521,2489521,"Pitta nympha Temminck & Schlegel, 1850","Pitta nympha Temminck & Schlegel, 1850",Animalia,Chordata,Passeriformes,Pittidae,Pitta,Pitta nympha,Pitta,nympha,SPECIES,ACCEPTED,VU,,35.85678,127.13765,,ASIA,Jeonrabugdo,2023,6,4,2023-06-04,155,155,"['CONTINENT_DERIVED_FROM_COORDINATES', 'TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED']",,2024-04-17T09:26:07.042+00:00,,http://creativecommons.org/licenses/by/4.0/legalcode,False,[{'identifier': 'OBS1750456364'}],[],[],[],False,,obsr730070,,WGS84,Aves,KR,[],[],ASIA,"Korea, Republic of",ASIA,,OBS1750456364,,,,,EBIRD,4745689308,URN:catalog:CLO:EBIRD:OBS1750456364,,OBS1750456364,CLO,,,,,KOR,South Korea,KOR.13_1,Jeollabuk-do,KOR.13.9_2,Jeonju,KOR.13.9.1_2,Deokjin,2.0,Fairy Pitta,avibase-0ECBA406,건지산,,,,,,,,,,,,,,
4845076429,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,e2e717bf-551a-4917-bdc9-4fa0f342c530,7182d304-b0a2-404b-baba-2086a325c221,e2e717bf-551a-4917-bdc9-4fa0f342c530,KR,DWC_ARCHIVE,2024-04-15T22:36:22.136+00:00,2024-04-17T10:09:22.800+00:00,20,HUMAN_OBSERVATION,PRESENT,2489521,1,44,212,729,9334,2489451,2489521,2489521,"Pitta nympha Temminck & Schlegel, 1850","Pitta nympha Temminck & Schlegel, 1850",Animalia,Chordata,Passeriformes,Pittidae,Pitta,Pitta nympha,Pitta,nympha,SPECIES,ACCEPTED,VU,,33.505547,126.8928,,ASIA,Jejudo,2023,6,4,2023-06-04,155,155,"['CONTINENT_DERIVED_FROM_COORDINATES', 'TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED']",,2024-04-17T10:09:22.800+00:00,,http://creativecommons.org/licenses/by/4.0/legalcode,False,[{'identifier': 'OBS1751068284'}],[],[],[],False,,obsr618885,,WGS84,Aves,KR,[],[],ASIA,"Korea, Republic of",ASIA,,OBS1751068284,,,,,EBIRD,4845076429,URN:catalog:CLO:EBIRD:OBS1751068284,,OBS1751068284,CLO,,,,,KOR,South Korea,KOR.12_1,Jeju,KOR.12.1_2,Jeju,KOR.12.1.7_2,Gujwa,1.0,Fairy Pitta,avibase-0ECBA406,제주도 하도리철새보호구역(Jeju--Hado-ri Migratory Bird Habitat),,,,,,,,,,,,,,
4639834943,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,e2e717bf-551a-4917-bdc9-4fa0f342c530,7182d304-b0a2-404b-baba-2086a325c221,e2e717bf-551a-4917-bdc9-4fa0f342c530,KR,DWC_ARCHIVE,2024-04-15T22:36:22.136+00:00,2024-04-17T09:00:10.483+00:00,20,HUMAN_OBSERVATION,PRESENT,2489521,1,44,212,729,9334,2489451,2489521,2489521,"Pitta nympha Temminck & Schlegel, 1850","Pitta nympha Temminck & Schlegel, 1850",Animalia,Chordata,Passeriformes,Pittidae,Pitta,Pitta nympha,Pitta,nympha,SPECIES,ACCEPTED,VU,,33.516865,126.7171,,ASIA,Jejudo,2023,6,4,2023-06-04,155,155,"['CONTINENT_DERIVED_FROM_COORDINATES', 'TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED']",,2024-04-17T09:00:10.483+00:00,,http://creativecommons.org/licenses/by/4.0/legalcode,False,[{'identifier': 'OBS1751237685'}],[],[],[],False,,obsr618885,,WGS84,Aves,KR,[],[],ASIA,"Korea, Republic of",ASIA,,OBS1751237685,,,,,EBIRD,4639834943,URN:catalog:CLO:EBIRD:OBS1751237685,,OBS1751237685,CLO,,,,,KOR,South Korea,KOR.12_1,Jeju,KOR.12.1_2,Jeju,KOR.12.1.16_2,Jocheon,3.0,Fairy Pitta,avibase-0ECBA406,제주도 동백동산(Jeju--Dongbaekdongsan/Camellia Hill),,,,,,,,,,,,,,
4646061258,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,e2e717bf-551a-4917-bdc9-4fa0f342c530,7182d304-b0a2-404b-baba-2086a325c221,e2e717bf-551a-4917-bdc9-4fa0f342c530,KR,DWC_ARCHIVE,2024-04-15T22:36:22.136+00:00,2024-04-17T08:40:07.507+00:00,20,HUMAN_OBSERVATION,PRESENT,2489521,1,44,212,729,9334,2489451,2489521,2489521,"Pitta nympha Temminck & Schlegel, 1850","Pitta nympha Temminck & Schlegel, 1850",Animalia,Chordata,Passeriformes,Pittidae,Pitta,Pitta nympha,Pitta,nympha,SPECIES,ACCEPTED,VU,,35.57318,129.13913,,ASIA,Ulsan-Kwangyokshi,2023,6,3,2023-06-03,154,154,"['CONTINENT_DERIVED_FROM_COORDINATES', 'TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED']",,2024-04-17T08:40:07.507+00:00,,http://creativecommons.org/licenses/by/4.0/legalcode,False,[{'identifier': 'OBS1751264962'}],[],[],[],False,,obsr34603,,WGS84,Aves,KR,[],[],ASIA,"Korea, Republic of",ASIA,,OBS1751264962,,,,,EBIRD,4646061258,URN:catalog:CLO:EBIRD:OBS1751264962,,OBS1751264962,CLO,,,,,KOR,South Korea,KOR.17_1,Ulsan,KOR.17.5_2,Ulju,KOR.17.5.5_2,Eonyang,1.0,Fairy Pitta,avibase-0ECBA406,Singeung-gil Reservoir,,,,,,,,,,,,,,
4756344928,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,e2e717bf-551a-4917-bdc9-4fa0f342c530,7182d304-b0a2-404b-baba-2086a325c221,e2e717bf-551a-4917-bdc9-4fa0f342c530,KR,DWC_ARCHIVE,2024-04-15T22:36:22.136+00:00,2024-04-17T08:40:08.700+00:00,20,HUMAN_OBSERVATION,PRESENT,2489521,1,44,212,729,9334,2489451,2489521,2489521,"Pitta nympha Temminck & Schlegel, 1850","Pitta nympha Temminck & Schlegel, 1850",Animalia,Chordata,Passeriformes,Pittidae,Pitta,Pitta nympha,Pitta,nympha,SPECIES,ACCEPTED,VU,,33.45468,126.652985,,ASIA,Jejudo,2023,6,6,2023-06-06,157,157,"['CONTINENT_DERIVED_FROM_COORDINATES', 'TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED']",,2024-04-17T08:40:08.700+00:00,,http://creativecommons.org/licenses/by/4.0/legalcode,False,[{'identifier': 'OBS1752339928'}],[],[],[],False,,obsr309470,,WGS84,Aves,KR,[],[],ASIA,"Korea, Republic of",ASIA,,OBS1752339928,,,,,EBIRD,4756344928,URN:catalog:CLO:EBIRD:OBS1752339928,,OBS1752339928,CLO,,,,,KOR,South Korea,KOR.12_1,Jeju,KOR.12.1_2,Jeju,KOR.12.1.16_2,Jocheon,1.0,Fairy Pitta,avibase-0ECBA406,바농오름(Banong Oreum),,,,,,,,,,,,,,
4818973342,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,e2e717bf-551a-4917-bdc9-4fa0f342c530,7182d304-b0a2-404b-baba-2086a325c221,e2e717bf-551a-4917-bdc9-4fa0f342c530,KR,DWC_ARCHIVE,2024-04-15T22:36:22.136+00:00,2024-04-17T09:25:28.734+00:00,20,HUMAN_OBSERVATION,PRESENT,2489521,1,44,212,729,9334,2489451,2489521,2489521,"Pitta nympha Temminck & Schlegel, 1850","Pitta nympha Temminck & Schlegel, 1850",Animalia,Chordata,Passeriformes,Pittidae,Pitta,Pitta nympha,Pitta,nympha,SPECIES,ACCEPTED,VU,,33.505943,126.72699,,ASIA,Jejudo,2023,6,7,2023-06-07,158,158,"['CONTINENT_DERIVED_FROM_COORDINATES', 'TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED']",,2024-04-17T09:25:28.734+00:00,,http://creativecommons.org/licenses/by/4.0/legalcode,False,[{'identifier': 'OBS1753168137'}],[],[],[],False,,obsr3883938,,WGS84,Aves,KR,[],[],ASIA,"Korea, Republic of",ASIA,,OBS1753168137,,,,,EBIRD,4818973342,URN:catalog:CLO:EBIRD:OBS1753168137,,OBS1753168137,CLO,,,,,KOR,South Korea,KOR.12_1,Jeju,KOR.12.1_2,Jeju,KOR.12.1.16_2,Jocheon,2.0,Fairy Pitta,avibase-0ECBA406,"산41-3 조천읍, 제주시, 제주특별자치도, KR (33.506, 126.727)",,,,,,,,,,,,,,
4676721240,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,e2e717bf-551a-4917-bdc9-4fa0f342c530,7182d304-b0a2-404b-baba-2086a325c221,e2e717bf-551a-4917-bdc9-4fa0f342c530,KR,DWC_ARCHIVE,2024-04-15T22:36:22.136+00:00,2024-04-17T08:40:09.902+00:00,20,HUMAN_OBSERVATION,PRESENT,2489521,1,44,212,729,9334,2489451,2489521,2489521,"Pitta nympha Temminck & Schlegel, 1850","Pitta nympha Temminck & Schlegel, 1850",Animalia,Chordata,Passeriformes,Pittidae,Pitta,Pitta nympha,Pitta,nympha,SPECIES,ACCEPTED,VU,,33.52728,126.71752,,ASIA,Jejudo,2023,6,7,2023-06-07,158,158,"['CONTINENT_DERIVED_FROM_COORDINATES', 'TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED']",,2024-04-17T08:40:09.902+00:00,,http://creativecommons.org/licenses/by/4.0/legalcode,False,[{'identifier': 'OBS1753174433'}],[],[],[],False,,obsr3883938,,WGS84,Aves,KR,[],[],ASIA,"Korea, Republic of",ASIA,,OBS1753174433,,,,,EBIRD,4676721240,URN:catalog:CLO:EBIRD:OBS1753174433,,OBS1753174433,CLO,,,,,KOR,South Korea,KOR.12_1,Jeju,KOR.12.1_2,Jeju,KOR.12.1.7_2,Gujwa,1.0,Fairy Pitta,avibase-0ECBA406,"1768 구좌읍, 제주시, 제주특별자치도, KR (33.527, 126.718)",,,,,,,,,,,,,,
4831928060,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,e2e717bf-551a-4917-bdc9-4fa0f342c530,7182d304-b0a2-404b-baba-2086a325c221,e2e717bf-551a-4917-bdc9-4fa0f342c530,KR,DWC_ARCHIVE,2024-04-15T22:36:22.136+00:00,2024-04-17T09:01:04.137+00:00,20,HUMAN_OBSERVATION,PRESENT,2489521,1,44,212,729,9334,2489451,2489521,2489521,"Pitta nympha Temminck & Schlegel, 1850","Pitta nympha Temminck & Schlegel, 1850",Animalia,Chordata,Passeriformes,Pittidae,Pitta,Pitta nympha,Pitta,nympha,SPECIES,ACCEPTED,VU,,36.72982,127.077194,,ASIA,Chungcheongnamdo,2023,6,7,2023-06-07,158,158,"['CONTINENT_DERIVED_FROM_COORDINATES', 'TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED']",,2024-04-17T09:01:04.137+00:00,,http://creativecommons.org/licenses/by/4.0/legalcode,False,[{'identifier': 'OBS1753187740'}],[],[],[],False,,obsr2991782,,WGS84,Aves,KR,[],[],ASIA,"Korea, Republic of",ASIA,,OBS1753187740,,,,,EBIRD,4831928060,URN:catalog:CLO:EBIRD:OBS1753187740,,OBS1753187740,CLO,,,,,KOR,South Korea,KOR.3_1,Chungcheongnam-do,KOR.3.1_2,Asan,KOR.3.1.1_2,Baebang,1.0,Fairy Pitta,avibase-0ECBA406,호서대학교 아산캠퍼스,,,,,,,,,,,,,,
4634121090,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,e2e717bf-551a-4917-bdc9-4fa0f342c530,7182d304-b0a2-404b-baba-2086a325c221,e2e717bf-551a-4917-bdc9-4fa0f342c530,KR,DWC_ARCHIVE,2024-04-15T22:36:22.136+00:00,2024-04-17T09:00:26.522+00:00,20,HUMAN_OBSERVATION,PRESENT,2489521,1,44,212,729,9334,2489451,2489521,2489521,"Pitta nympha Temminck & Schlegel, 1850","Pitta nympha Temminck & Schlegel, 1850",Animalia,Chordata,Passeriformes,Pittidae,Pitta,Pitta nympha,Pitta,nympha,SPECIES,ACCEPTED,VU,,35.85765,127.140724,,ASIA,Jeonrabugdo,2023,6,6,2023-06-06,157,157,"['CONTINENT_DERIVED_FROM_COORDINATES', 'TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED']",,2024-04-17T09:00:26.522+00:00,,http://creativecommons.org/licenses/by/4.0/legalcode,False,[{'identifier': 'OBS1753273456'}],[],[],[],False,,obsr730070,,WGS84,Aves,KR,[],[],ASIA,"Korea, Republic of",ASIA,,OBS1753273456,,,,,EBIRD,4634121090,URN:catalog:CLO:EBIRD:OBS1753273456,,OBS1753273456,CLO,,,,,KOR,South Korea,KOR.13_1,Jeollabuk-do,KOR.13.9_2,Jeonju,KOR.13.9.1_2,Deokjin,3.0,Fairy Pitta,avibase-0ECBA406,건지산,,,,,,,,,,,,,,
4836076056,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,e2e717bf-551a-4917-bdc9-4fa0f342c530,7182d304-b0a2-404b-baba-2086a325c221,e2e717bf-551a-4917-bdc9-4fa0f342c530,KR,DWC_ARCHIVE,2024-04-15T22:36:22.136+00:00,2024-04-17T08:40:56.363+00:00,20,HUMAN_OBSERVATION,PRESENT,2489521,1,44,212,729,9334,2489451,2489521,2489521,"Pitta nympha Temminck & Schlegel, 1850","Pitta nympha Temminck & Schlegel, 1850",Animalia,Chordata,Passeriformes,Pittidae,Pitta,Pitta nympha,Pitta,nympha,SPECIES,ACCEPTED,VU,,36.72982,127.077194,,ASIA,Chungcheongnamdo,2023,6,8,2023-06-08,159,159,"['CONTINENT_DERIVED_FROM_COORDINATES', 'TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED']",,2024-04-17T08:40:56.363+00:00,,http://creativecommons.org/licenses/by/4.0/legalcode,False,[{'identifier': 'OBS1753913934'}],[],[],[],False,,obsr2991782,,WGS84,Aves,KR,[],[],ASIA,"Korea, Republic of",ASIA,,OBS1753913934,,,,,EBIRD,4836076056,URN:catalog:CLO:EBIRD:OBS1753913934,,OBS1753913934,CLO,,,,,KOR,South Korea,KOR.3_1,Chungcheongnam-do,KOR.3.1_2,Asan,KOR.3.1.1_2,Baebang,4.0,Fairy Pitta,avibase-0ECBA406,호서대학교 아산캠퍼스,,,,,,,,,,,,,,
4763919622,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,e2e717bf-551a-4917-bdc9-4fa0f342c530,7182d304-b0a2-404b-baba-2086a325c221,e2e717bf-551a-4917-bdc9-4fa0f342c530,KR,DWC_ARCHIVE,2024-04-15T22:36:22.136+00:00,2024-04-17T10:08:11.045+00:00,20,HUMAN_OBSERVATION,PRESENT,2489521,1,44,212,729,9334,2489451,2489521,2489521,"Pitta nympha Temminck & Schlegel, 1850","Pitta nympha Temminck & Schlegel, 1850",Animalia,Chordata,Passeriformes,Pittidae,Pitta,Pitta nympha,Pitta,nympha,SPECIES,ACCEPTED,VU,,36.72982,127.077194,,ASIA,Chungcheongnamdo,2023,6,9,2023-06-09,160,160,"['CONTINENT_DERIVED_FROM_COORDINATES', 'TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED']",,2024-04-17T10:08:11.045+00:00,,http://creativecommons.org/licenses/by/4.0/legalcode,False,[{'identifier': 'OBS1754805616'}],[],[],[],False,,obsr2991782,,WGS84,Aves,KR,[],[],ASIA,"Korea, Republic of",ASIA,,OBS1754805616,,,,,EBIRD,4763919622,URN:catalog:CLO:EBIRD:OBS1754805616,,OBS1754805616,CLO,,,,,KOR,South Korea,KOR.3_1,Chungcheongnam-do,KOR.3.1_2,Asan,KOR.3.1.1_2,Baebang,2.0,Fairy Pitta,avibase-0ECBA406,호서대학교 아산캠퍼스,,,,,,,,,,,,,,
